"X","id","titulo","pago","numInscritos","avaliacao","numCriticas","desconto","preco"
11616,1164070,"Florida Retirement System: Pension and DROP Options","False",2180,4.68011,96,0,0
11617,1126272,"Beginner's Guide to Merchant Accounts","False",4340,4.30445,95,0,0
11618,808872,"Microeconomics - 1: Finding Demand","False",6705,4.51881,93,0,0
11619,2289287,"Capital Budgeting and Project Evaluation Techniques","False",4515,4.24015,93,0,0
11620,3030440,"Fundamentals of Finance","False",2665,3.86992,95,0,0
11621,206984,"Beware of Scams","False",6300,3.84248,92,0,0
11622,3182676,"Stocks, Cycles and Fundamental Analysis","False",2567,4.2556,89,0,0
11623,2817653,"Personal Finance, What they dont teach you in school!","False",3250,4.40113,89,0,0
11624,1036488,"Getting Started With Paper Trading","False",4870,4.06067,89,0,0
11625,205678,"Steps In Estate Planning","False",5314,4.18259,87,0,0
11626,3111416,"Financial Modelling Basics - Mini Course","False",2023,4.0822,87,0,0
11627,1267854,"Options trading - how to exchange time for income","False",5881,3.90796,86,0,0
11628,1414618,"How To Find Buyers by using go4WorldBusiness","False",5352,4.45676,85,0,0
11629,2589790,"Value Investing: Discover Pro Level Value Investing (2020)","False",2125,4.27985,83,0,0
11630,1885922,"Learn how to prepare for Tax Reform!","False",2901,4.67127,79,0,0
11631,151806,"Selecting Suitable Financial Products","False",5293,4.06035,79,0,0
11632,2150386,"Delving into Blockchain Use Cases : A Detailed Overview","False",5793,3.70693,78,0,0
11633,2771886,"QuantConnect Boot Camp in Python","False",7621,4.41772,77,0,0
11634,1585558,"7-Step Guide to Trading","False",4901,4.38716,77,0,0
11635,2495100,"How 8 Financial Ratios Can Allow You to Analyse Any Business","False",2702,3.9234,77,0,0
11636,1309630,"Money School: Debt","False",4674,4.42527,75,0,0
11637,1417834,"Complete Guide to Bitcoin & Ripple Futures Trading","False",5653,4.06943,73,0,0
11638,1024862,"Making Tax Digital - UK HMRC Legislation Explained","False",3017,3.8577,73,0,0
11639,2768392,"Financial modeling (DCF and LBO) - basic version","False",3210,4.22008,72,0,0
11640,3150438,"BINARY OPTIONS TRADING : TRADE TO WIN (BEGINNER) LEVEL 1","False",1441,4.09311,67,0,0
11641,2077380,"Financial Independence Mastery Course","False",4318,3.55785,67,0,0
11642,1396818,"Understanding Annuities","False",2262,4.03237,66,0,0
11643,1612108,"Crypto Apps 2018/ Abra /Coinbase /Binance /Robinhood/Bittrex","False",4144,4.30365,66,0,0
11644,1913720,"Gimme Your Money!: Beginners' Guide to Banks & Credit Scores","False",2727,3.71795,65,0,0
11645,94814,"Managing CPF Savings For Your Retirement","False",3820,4.15733,64,0,0
11646,2053541,"Introduction to Digital Assets to Get You Started on Trading","False",3876,4.56323,64,0,0
11647,935474,"Invest Successfully and Easily with Social Trading!","False",3995,3.71586,64,0,0
11648,2866784,"Basics of Investing","False",1511,4.3816,66,0,0
11649,1467708,"What the FICO 2.0: The Essential Guide to Credit Excellence","False",2605,4.4698,61,0,0
11650,793084,"Succeed in Stocks Even if you Don't Know Where to Start","False",5360,3.92846,61,0,0
11651,1646566,"Money Masters 101: Personal Finance for Students","False",4125,3.98896,60,0,0
11652,437252,"Take Charge Of Your Credit Facilities","False",5285,4.12741,60,0,0
11653,2783752,"Texas Instruments BA II Financial Calculator for CFA and FRM","False",3548,4.71138,60,0,0
11654,2282130,"Create a kickass financial independence spreadsheet","False",1752,4.29786,60,0,0
11655,1586828,"Capitalism Level 1: Become Rich with Capitalism","False",3681,4.62662,58,0,0
11656,204942,"Importance Of Estate Planning","False",5575,3.77589,57,0,0
11657,654154,"Tax Prep for Entrepreneurs - by Accounting Play","False",4890,3.81476,54,0,0
11658,2319314,"Motivate Your Money","False",3054,3.67771,54,0,0
11659,1816854,"A Layman's guide to Personal Financial Planning - Part 1","False",2493,4.35049,54,0,0
11660,2876834,"Accounting in 40 Minutes - Beginner to Intermediate","False",1072,3.73411,55,0,0
11661,1911262,"Cryptocurrency Trading and Investing Course","False",4844,4.06458,53,0,0
11662,2487550,"Capital budgeting techniques","False",2648,4.63152,52,0,0
11663,415548,"Getting out of Debt made simple for everyone","False",4294,3.95705,51,0,0
11664,1893078,"The Wealthy Cryptocurrency Guide","False",3753,4.16457,49,0,0
11665,2180258,"</ZERO> Coding Algorithmic Trading with TSLab: Basics","False",3934,3.91205,48,0,0
11666,1954270,"Delving into Blockchain : A Comprehensive Overview","False",4422,4.08555,48,0,0
11667,572048,"""Financial Emergency Preparation & Recovery"" with Jim Jaffe","False",3280,4.16448,47,0,0
11668,952182,"How I earned 236% in one month of Forex Trading","False",2043,4.15281,45,0,0
11669,2463166,"MidhaFin FRM Part 1 Sample Material","False",3055,4.44626,45,0,0
11670,1551672,"3D Modelling in Blender","False",6761,3.87905,45,0,0
11671,2942288,"World Economy - The Three Years after Corona","False",1772,4.36226,44,0,0
11672,2640302,"FREE COURSE: Changing your spending habits to SAVE YOU MONEY","False",2923,4.42219,41,0,0
11673,876898,"Forex - Help I cant Trade","False",4659,3.67927,40,0,0
11674,2855096,"Macroeconomics for Business Students","False",2379,4.18393,40,0,0
11675,2466642,"SPX Intraday Trading with Deep Market Internals Algorithms","False",2648,3.74929,39,0,0
11676,1902196,"Online Trading For Newbies","False",4178,3.93242,38,0,0
11677,3036948,"Budgeting & Standard (AIR,Ex- KPMG) : ACCA | CA | CIMA | PG","False",1679,4.00764,38,0,0
11678,2513276,"Forex Trading: The flow trend system (Masterclass Gold)","False",2591,3.71959,37,0,0
11679,2443574,"Free CFA Calculator Tutorial","False",2119,4.86647,36,0,0
11680,2668206,"TPB Tax Professional Training 2020","False",1521,4.41624,35,0,0
11681,2038684,"Oracle Applications R12 E-Business Tax Training","False",2184,3.63665,35,0,0
11682,1515138,"Understanding Credit Cards","False",1664,4.17105,35,0,0
